
Host: ezak

Timers On : Tue Sep 14 10:23:45 2021
Timers Off: Tue Sep 14 10:24:22 2021

Wall Time:       37.28 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| DFMP2 Aia Write                   :      0.000u      0.000s      0.007w      5 calls
DFMP2 Qia                           :      0.367u      0.033s      0.243w      5 calls
| DFMP2 Metric                      :      0.333u      0.000s      0.200w      5 calls
| DFMP2 Aia Read                    :      0.000u      0.033s      0.005w      5 calls
| DFMP2 (Q|A)(A|ia)                 :      0.033u      0.000s      0.029w      5 calls
| DFMP2 Qia Write                   :      0.000u      0.000s      0.007w      5 calls
DFMP2 Energy                        :      0.100u      0.017s      0.073w      5 calls
| DFMP2 Qia Read                    :      0.000u      0.000s      0.003w     10 calls
JK: (A|mn)                          :      0.417u      0.000s      0.255w      1 calls
JK: (A|Q)^-1/2                      :      0.083u      0.000s      0.050w      1 calls
JK: (Q|mn)                          :      0.050u      0.000s      0.029w      1 calls
DF Integrals                        :      0.417u      0.067s      0.288w      1 calls
W Integrals                         :      0.000u      0.000s      0.001w      1 calls
Elst10                              :      0.000u      0.000s      0.000w      1 calls
Exch10                              :      0.017u      0.000s      0.004w      1 calls
Exch10 S^2                          :      0.000u      0.000s      0.001w      1 calls
Ind20                               :      0.100u      0.033s      0.089w      1 calls
Exch-Ind20                          :      0.017u      0.000s      0.005w      1 calls
Exch-Disp20 N^5                     :      0.050u      0.033s      0.051w      1 calls
Exch-Disp20 N^4                     :      0.200u      0.050s      0.151w      1 calls
V: Grid                             :      0.050u      0.000s      0.023w      1 calls

**************************************************************************************

Host: ezak

Timers On : Tue Sep 14 10:31:54 2021
Timers Off: Tue Sep 14 10:31:55 2021

Wall Time:        0.65 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: ezak

Timers On : Tue Sep 14 11:49:19 2021
Timers Off: Tue Sep 14 11:49:21 2021

Wall Time:        2.17 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: ezak

Timers On : Tue Sep 14 13:28:10 2021
Timers Off: Tue Sep 14 13:28:11 2021

Wall Time:        0.37 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: ezak

Timers On : Fri Sep 17 10:55:18 2021
Timers Off: Fri Sep 17 10:55:20 2021

Wall Time:        1.75 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: ezak

Timers On : Fri Sep 17 11:24:09 2021
Timers Off: Fri Sep 17 11:24:11 2021

Wall Time:        1.45 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: ezak

Timers On : Tue Sep 21 11:07:44 2021
Timers Off: Tue Sep 21 11:07:45 2021

Wall Time:        0.90 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: ezak

Timers On : Tue Sep 21 15:56:33 2021
Timers Off: Tue Sep 21 15:56:34 2021

Wall Time:        0.83 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: ezak

Timers On : Wed Sep 22 08:40:38 2021
Timers Off: Wed Sep 22 08:40:39 2021

Wall Time:        0.84 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: ezak

Timers On : Wed Sep 22 15:26:27 2021
Timers Off: Wed Sep 22 15:26:29 2021

Wall Time:        1.22 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: ezak

Timers On : Wed Sep 22 15:29:19 2021
Timers Off: Wed Sep 22 15:29:20 2021

Wall Time:        1.31 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: ezak

Timers On : Wed Sep 22 15:32:14 2021
Timers Off: Wed Sep 22 15:32:15 2021

Wall Time:        1.25 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: ezak

Timers On : Wed Sep 22 15:32:51 2021
Timers Off: Wed Sep 22 15:32:52 2021

Wall Time:        1.25 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: ezak

Timers On : Wed Sep 22 15:35:56 2021
Timers Off: Wed Sep 22 15:35:57 2021

Wall Time:        1.20 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: ezak

Timers On : Thu Sep 23 08:40:01 2021
Timers Off: Thu Sep 23 08:40:03 2021

Wall Time:        1.86 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************
