#L=7 M=4
#R     Re(V)   Im(V)

0.08046609183  -1.364626167e-14  5.812203727e-17
0.2612261349  -5.090851833e-11  1.154548702e-18
0.5220750502  -6.511897345e-09  -2.341626477e-17
0.8347210423  -1.754970625e-07  6.998823539e-17
1.165278958  -1.838366674e-06  3.499399387e-17
1.47792495  -9.866839155e-06  1.145838631e-17
1.738773865  -3.128542676e-05  1.980033878e-17
1.919533908  -6.329364342e-05  5.246296698e-19
2  -8.485783985e-05  -9.651649294e-18
2.080466092  -0.0001125021917  1.229084619e-17
2.261226135  -0.0002043544733  -1.084850401e-18
2.52207505  -0.0004479650701  3.888097927e-18
2.834721042  -0.001041383835  -4.06472333e-19
3.165278958  -0.002315700212  -1.64515738e-18
3.47792495  -0.004588996728  -5.080514863e-18
3.738773865  -0.007758403043  -4.480263851e-19
3.919533908  -0.0109244841  -3.750438448e-18
4  -0.01265454771  -7.270723424e-18
4.080466092  -0.01070961516  -3.546816259e-18
4.261226135  -0.007419978332  -2.212110269e-18
4.52207505  -0.004443826064  -1.532689851e-18
4.834721042  -0.002455753499  -1.747923337e-18
5.165278958  -0.001337009152  -9.002625018e-19
5.47792495  -0.0007614866916  -3.250778718e-19
5.738773865  -0.0004784075266  -1.560484837e-19
5.919533908  -0.0003468651152  -2.958456974e-19
6  -0.000300529646  3.373865279e-19
6.080466092  -0.0002602937895  -7.163640038e-19
6.261226135  -0.0001880854038  4.897781354e-20
6.52207505  -0.0001167089181  -3.586679891e-20
6.834721042  -6.435371185e-05  -1.1556379e-19
7.165278958  -3.256365801e-05  -2.904103793e-19
7.47792495  -1.548083308e-05  1.744237297e-21
7.738773865  -7.018079359e-06  -5.878226575e-20
7.919533908  -3.163131347e-06  -9.534038276e-20
8  -1.838740993e-06  3.081552316e-20
8.080466092  -7.127160132e-07  -2.872478387e-19
8.261226135  1.219687908e-06  -4.599418122e-20
8.52207505  2.921256111e-06  -1.426333502e-20
8.834721042  3.865369446e-06  -5.545975661e-20
9.165278958  4.112628496e-06  9.847452449e-20
9.47792495  3.968379268e-06  -3.190712368e-20
9.738773865  3.706115309e-06  -1.089423971e-19
9.919533908  3.486997055e-06  4.788537915e-21
10  3.384350174e-06  8.010038994e-21
10.08046609  3.279986019e-06  -3.299737127e-20
10.26122613  3.043312002e-06  5.551150986e-20
10.52207505  2.707461809e-06  6.659994652e-20
10.83472104  2.32974665e-06  -1.99199716e-21
11.16527896  1.971199973e-06  2.110978987e-20
11.47792495  1.674273745e-06  -1.262171185e-20
11.73877387  1.457351037e-06  5.494842087e-20
11.91953391  1.322544183e-06  -4.36276935e-20
12  1.266399236e-06  -1.131779184e-20
12.08046609  1.212538312e-06  -6.457614784e-21
12.26122613  1.099506206e-06  -4.453370003e-20
12.52207505  9.544334611e-07  2.966997311e-20
12.83472104  8.05575093e-07  3.011052242e-20
13.16527896  6.737600711e-07  -1.741371073e-20
13.47792495  5.695640504e-07  -2.166208239e-20
13.73877387  4.95558842e-07  -3.65658174e-21
13.91953391  4.502700823e-07  9.076260957e-20
14  4.315396535e-07  -3.400716123e-20
14.08046609  4.136348929e-07  -1.153511691e-20
14.26122613  3.762358531e-07  9.080857861e-21
14.52207505  3.28504788e-07  5.819031954e-21
14.83472104  2.797073638e-07  5.674305388e-20
15.16527896  2.365035472e-07  2.451356078e-20
15.47792495  2.022436598e-07  -7.073721102e-20
15.73877387  1.777868831e-07  3.601929816e-21
15.91953391  1.627437881e-07  8.43270907e-21
16  1.565009385e-07  2.558191645e-20
16.08046609  1.505199109e-07  7.136118294e-20
16.26122613  1.37979169e-07  1.591692197e-20
16.52207505  1.218623305e-07  3.841712294e-20
16.83472104  1.052226668e-07  -1.224293447e-22
17.16527896  9.031371623e-08  -1.518449109e-20
17.47792495  7.834038538e-08  -5.073617835e-22
17.73877387  6.969169287e-08  -3.107597703e-20
17.91953391  6.432211036e-08  1.895623253e-20
18  6.20812281e-08  -3.975044508e-20
18.08046609  5.992691632e-08  3.413050345e-20
18.26122613  5.538458589e-08  2.01346561e-20
18.52207505  4.949116557e-08  -1.688640589e-20
18.83472104  4.333020606e-08  -1.005188701e-21
19.16527896  3.773178843e-08  2.246453665e-21
19.47792495  3.317182653e-08  -5.099572993e-21
19.73877387  2.983640017e-08  3.550923605e-20
19.91953391  2.774553728e-08  2.080239163e-20
20  2.686799146e-08  -3.008880268e-20
20.08046609  2.602142583e-08  -1.045366496e-20
20.26122613  2.422653261e-08  1.745846275e-20
20.52207505  2.187594711e-08  -1.918103151e-20
20.83472104  1.938899249e-08  -4.09666933e-20
21.16527896  1.709887975e-08  2.196733365e-20
21.47792495  1.520897626e-08  -6.199793116e-21
21.73877387  1.381060561e-08  -3.426386936e-20
21.91953391  1.292632934e-08  1.963118644e-20
22  1.255329167e-08  4.083524092e-21
22.08046609  1.219230473e-08  -2.284073874e-20
22.26122613  1.14231292e-08  -1.463943826e-21
22.52207505  1.040741759e-08  -2.664523347e-20
22.83472104  9.321302896e-09  1.43280616e-20
23.16527896  8.309394344e-09  4.866203591e-21
23.47792495  7.464706747e-09  6.700614588e-21
23.73877387  6.833424759e-09  -3.615225708e-21
23.91953391  6.431191851e-09  -2.431208716e-20
24  6.260754648e-09  5.443236013e-21
24.08046609  6.095379824e-09  -8.136031493e-21
24.26122613  5.741490103e-09  -1.14414302e-20
24.52207505  5.270807539e-09  -2.391150645e-20
24.83472104  4.762870482e-09  -3.383199803e-20
25.16527896  4.284853379e-09  2.632115849e-20
25.47792495  3.88188556e-09  -5.789048375e-21
25.73877387  3.578127971e-09  3.887941647e-20
25.91953391  3.383321748e-09  1.533939153e-21
26  3.300463004e-09  -1.726962909e-20
26.08046609  3.219879863e-09  1.809880386e-20
26.26122613  3.046801121e-09  -4.066866385e-21
26.52207505  2.81517978e-09  9.612959885e-21
26.83472104  2.563252762e-09  -1.52901467e-20
27.16527896  2.324108633e-09  -7.322888786e-21
27.47792495  2.120799239e-09  2.378120271e-20
27.73877387  1.966408697e-09  -2.275826531e-20
27.91953391  1.866839811e-09  -1.869631884e-21
28  1.824350647e-09  3.021159744e-20
28.08046609  1.782946281e-09  5.143983323e-21
28.26122613  1.693733752e-09  -2.404855105e-20
28.52207505  1.573709885e-09  2.384243209e-20
28.83472104  1.442274907e-09  1.130496245e-20
29.16527896  1.31657435e-09  3.769279867e-20
29.47792495  1.208925349e-09  -7.864104733e-21
29.73877387  1.126653785e-09  -3.019426715e-20
29.91953391  1.073337918e-09  -4.372161004e-20
30  1.050521802e-09  -2.810325196e-20
30.08046609  1.028249864e-09  1.152392921e-20
30.26122613  9.801286213e-10  -4.416453636e-20
30.52207505  9.150880829e-10  3.090279205e-21
30.83472104  8.434420726e-10  8.362042192e-21
31.16527896  7.744749741e-10  2.317305446e-20
31.47792495  7.150342366e-10  -1.321808452e-20
31.73877387  6.693518747e-10  -3.646284543e-21
31.91953391  6.396219229e-10  1.693442595e-20
32  6.268676426e-10  2.257445299e-21
32.08046609  6.143987644e-10  -1.035001155e-20
32.26122613  5.873929825e-10  2.181650433e-20
32.52207505  5.507439699e-10  -2.084983698e-20
32.83472104  5.101631757e-10  -5.575801567e-21
33.16527896  4.708759804e-10  2.115727124e-20
33.47792495  4.36825051e-10  2.734737442e-20
33.73877387  4.105267242e-10  -7.559272092e-21
33.91953391  3.933478628e-10  1.947732494e-21
34  3.85961929e-10  -1.246709101e-20
34.08046609  3.787316514e-10  1.454538776e-20
34.26122613  3.630384297e-10  -4.771978395e-21
34.52207505  3.416651454e-10  -2.694075097e-21
34.83472104  3.178901889e-10  -4.802732543e-21
35.16527896  2.94756431e-10  -2.470159e-20
35.47792495  2.746060759e-10  -1.357456695e-21
35.73877387  2.589754768e-10  -2.200189331e-20
35.91953391  2.487312141e-10  -1.133763097e-20
36  2.443182028e-10  -8.556426431e-21
36.08046609  2.399930794e-10  -1.634828902e-20
36.26122613  2.305876009e-10  -3.859265839e-21
36.52207505  2.17737021e-10  3.147446107e-21
36.83472104  2.033839852e-10  4.445277628e-21
37.16527896  1.893549489e-10  6.493887395e-23
37.47792495  1.770808258e-10  -1.933668645e-20
37.73877387  1.67522656e-10  -4.64430824e-21
37.91953391  1.612396743e-10  1.342172577e-20
38  1.585283954e-10  -2.509444086e-20
38.08046609  1.558682982e-10  4.004459747e-21
38.26122613  1.500737618e-10  2.680893785e-21
38.52207505  1.421341553e-10  8.973068265e-22
38.83472104  1.332337704e-10  3.987214623e-21
39.16527896  1.244990519e-10  -2.022223472e-21
39.47792495  1.168264826e-10  -8.545537211e-22
39.73877387  1.10830715e-10  3.286107616e-21
39.91953391  1.068789412e-10  2.722358041e-21
40  1.051709768e-10  1.504232792e-21
