#L=5 M=4
#R     Re(V)   Im(V)

0.08046609183  -5.325025819e-11  -3.609777886e-17
0.2612261349  -1.924650889e-08  8.65992522e-17
0.5220750502  -6.184413009e-07  3.911950412e-17
0.8347210423  -6.564753537e-06  -2.559135568e-17
1.165278958  -3.565293299e-05  2.905316172e-17
1.47792495  -0.0001204414861  -1.11102888e-17
1.738773865  -0.000279235094  9.569599291e-20
1.919533908  -0.0004677581346  2.067905463e-17
2  -0.0005801139207  -2.386642555e-18
2.080466092  -0.0007138241343  6.239881835e-18
2.261226135  -0.001108624445  5.854754571e-18
2.52207505  -0.001983090359  -5.793000645e-19
2.834721042  -0.003717939388  6.409570748e-18
3.165278958  -0.006764856747  -5.28587854e-18
3.47792495  -0.01131385897  -8.152995295e-18
3.738773865  -0.01680426984  -1.333748649e-17
3.919533908  -0.02174726554  -1.580000023e-17
4  -0.02429291802  -1.31749766e-17
4.080466092  -0.02122591961  -1.248809413e-17
4.261226135  -0.01572443416  -1.047315332e-17
4.52207505  -0.01025673619  -1.07774416e-17
4.834721042  -0.006170752832  -5.639794018e-18
5.165278958  -0.003596677169  -3.555188088e-18
5.47792495  -0.002133973325  -1.434123534e-18
5.738773865  -0.001356697683  -8.077033852e-19
5.919533908  -0.0009762680108  -7.989188137e-19
6  -0.0008385412033  -9.606216365e-19
6.080466092  -0.0007171366458  -9.339207386e-19
6.261226135  -0.0004945515249  -7.643989152e-19
6.52207505  -0.0002678500624  -6.947013952e-19
6.834721042  -9.739357425e-05  -2.228072054e-19
7.165278958  6.311689355e-06  -1.497263691e-19
7.47792495  5.978066898e-05  -4.628332516e-20
7.738773865  8.362980235e-05  8.636770161e-20
7.919533908  9.276690664e-05  -1.809167125e-19
8  9.537915382e-05  -5.679922563e-20
8.080466092  9.725260177e-05  -5.399486826e-20
8.261226135  9.924121814e-05  4.888379815e-21
8.52207505  9.811501364e-05  3.447089644e-20
8.834721042  9.289953646e-05  -4.869433764e-20
9.165278958  8.502724625e-05  9.15719162e-20
9.47792495  7.67306289e-05  1.154656011e-19
9.738773865  6.975717994e-05  2.190297331e-20
9.919533908  6.505437957e-05  2.920629382e-20
10  6.301363734e-05  1.315860282e-19
10.08046609  6.101069613e-05  7.844579354e-20
10.26122613  5.666308389e-05  1.016950014e-21
10.52207505  5.079351945e-05  -1.131174914e-19
10.83472104  4.442188823e-05  2.527759237e-20
11.16527896  3.846755407e-05  2.54122859e-21
11.47792495  3.353599991e-05  1.989646341e-20
11.73877387  2.990118212e-05  -5.051619201e-20
11.91953391  2.761771097e-05  4.100201607e-20
12  2.66593211e-05  -1.931399492e-20
12.08046609  2.573517579e-05  9.118927641e-20
12.26122613  2.377845373e-05  -2.395465007e-20
12.52207505  2.122554998e-05  6.860088815e-20
12.83472104  1.854393944e-05  4.707460785e-20
13.16527896  1.610059385e-05  7.520961027e-20
13.47792495  1.410954808e-05  -3.344467113e-20
13.73877387  1.265473315e-05  -4.434069139e-20
13.91953391  1.174419724e-05  3.187354108e-20
14  1.136249474e-05  -1.685265554e-20
14.08046609  1.099456739e-05  -1.469352151e-20
14.26122613  1.021560443e-05  1.163830588e-19
14.52207505  9.198228066e-06  2.034804644e-20
14.83472104  8.126033877e-06  5.555279919e-20
15.16527896  7.143408973e-06  9.045590764e-20
15.47792495  6.336566374e-06  -1.570351182e-20
15.73877387  5.742293545e-06  -1.089449066e-20
15.91953391  5.367820405e-06  -1.547106516e-20
16  5.210173467e-06  1.146235325e-20
16.08046609  5.057810927e-06  -1.801609639e-20
16.26122613  4.733813999e-06  4.617719729e-21
16.52207505  4.3073922e-06  -1.536113928e-20
16.83472104  3.853316136e-06  -4.443619264e-20
17.16527896  3.432143852e-06  1.100275016e-20
17.47792495  3.082032438e-06  3.559677903e-20
17.73877387  2.821273519e-06  -2.687007496e-20
17.91953391  2.655534939e-06  1.046629795e-20
18  2.585403619e-06  -4.647150529e-21
18.08046609  2.517410495e-06  2.077543742e-20
18.26122613  2.372092662e-06  4.177540727e-20
18.52207505  2.179199222e-06  4.292915511e-21
18.83472104  1.971520116e-06  1.023001571e-20
19.16527896  1.776513019e-06  2.576969692e-20
19.47792495  1.612430013e-06  -3.777109583e-20
19.73877387  1.488911784e-06  9.126523954e-21
19.91953391  1.409763827e-06  3.797127405e-20
20  1.37611319e-06  -4.542222601e-21
