#L=5 M=5
#R     Re(V)   Im(V)

0.08046609183  4.124427084e-08  -2.782559217e-08
0.2612261349  1.48764836e-05  -1.003456538e-05
0.5220750502  0.0004747511526  -0.0003200337056
0.8347210423  0.004969033887  -0.003345553484
1.165278958  0.02641266308  -0.01775179358
1.47792495  0.08692244389  -0.05830700425
1.738773865  0.1963887355  -0.1315189972
1.919533908  0.3225138493  -0.215752912
2  0.3959374785  -0.2649781295
2.080466092  0.3124382725  -0.2091365461
2.261226135  0.1890236316  -0.1269322201
2.52207505  0.09786258834  -0.06622283976
2.834721042  0.04876160161  -0.03358284764
3.165278958  0.02622112175  -0.01876520647
3.47792495  0.01694932112  -0.01296304495
3.738773865  0.01378174742  -0.01135595311
3.919533908  0.01314363461  -0.0114060698
4  0.01318304115  -0.01168194355
4.080466092  0.01155147663  -0.01025312564
4.261226135  0.008628008021  -0.007687410705
4.52207505  0.005722666149  -0.005128234876
4.834721042  0.00354410923  -0.003199902758
5.165278958  0.002159242878  -0.001967124249
5.47792495  0.001360107517  -0.001251430971
5.738773865  0.0009267965377  -0.000861080133
5.919533908  0.0007103006658  -0.0006650848072
6  0.0006307639225  -0.0005928542069
6.080466092  0.000559955749  -0.0005284236037
6.261226135  0.0004278362142  -0.0004078090023
6.52207505  0.0002884102399  -0.0002797526661
6.834721042  0.0001770716505  -0.0001765682521
7.165278958  0.0001025725497  -0.0001066801225
7.47792495  5.823297231e-05  -6.444668459e-05
7.738773865  3.396651824e-05  -4.092993603e-05
7.919533908  2.191612342e-05  -2.905518857e-05
8  1.753251983e-05  -2.468444896e-05
8.080466092  1.366367003e-05  -2.079619397e-05
8.261226135  6.577082993e-06  -1.357199002e-05
8.52207505  -5.658874188e-07  -6.070686074e-06
8.834721042  -5.744278526e-06  -3.267649103e-07
9.165278958  -8.609459919e-06  3.195269447e-06
9.47792495  -9.780388396e-06  4.98328401e-06
9.738773865  -1.004318314e-05  5.734616924e-06
9.919533908  -9.975341467e-06  5.98574548e-06
10  -9.897045682e-06  6.043734626e-06
10.08046609  -9.794866799e-06  6.074199118e-06
10.26122613  -9.495620827e-06  6.059416995e-06
10.52207505  -8.945994362e-06  5.887232753e-06
10.83472104  -8.190730857e-06  5.534328489e-06
11.16527896  -7.359487203e-06  5.073095661e-06
11.47792495  -6.591935357e-06  4.608103482e-06
11.73877387  -5.985321124e-06  4.22242381e-06
11.91953391  -5.587872109e-06  3.962925149e-06
12  -5.417481541e-06  3.85024577e-06
12.08046609  -5.251234279e-06  3.739544698e-06
12.26122613  -4.893099825e-06  3.498692649e-06
12.52207505  -4.41378894e-06  3.171746681e-06
12.83472104  -3.896338604e-06  2.813574486e-06
13.16527896  -3.413071308e-06  2.474771715e-06
13.47792495  -3.011386156e-06  2.190357718e-06
13.73877387  -2.713620445e-06  1.978031202e-06
13.91953391  -2.525493843e-06  1.843274966e-06
14  -2.446237027e-06  1.786367912e-06
14.08046609  -2.369624479e-06  1.73128559e-06
14.26122613  -2.20673486e-06  1.61393749e-06
14.52207505  -1.99261744e-06  1.459216734e-06
14.83472104  -1.765340609e-06  1.294437117e-06
15.16527896  -1.555652604e-06  1.141938292e-06
15.47792495  -1.382525003e-06  1.015709211e-06
15.73877387  -1.254487464e-06  9.221810102e-07
15.91953391  -1.173588514e-06  8.63013611e-07
16  -1.139482581e-06  8.380531292e-07
16.08046609  -1.106492964e-06  8.139006479e-07
16.26122613  -1.036254765e-06  7.624488633e-07
16.52207505  -9.436390735e-07  6.945471293e-07
16.83472104  -8.448108299e-07  6.220219212e-07
17.16527896  -7.529649511e-07  5.545611057e-07
17.47792495  -6.76492854e-07  4.983515135e-07
17.73877387  -6.194697159e-07  4.564150559e-07
17.91953391  -5.831974808e-07  4.297299914e-07
18  -5.678427508e-07  4.18431581e-07
18.08046609  -5.529526611e-07  4.074738984e-07
18.26122613  -5.211176796e-07  3.840426502e-07
18.52207505  -4.788375867e-07  3.529160168e-07
18.83472104  -4.332895526e-07  3.193744877e-07
19.16527896  -3.90497144e-07  2.878543242e-07
19.47792495  -3.544745349e-07  2.613152715e-07
19.73877387  -3.273485348e-07  2.413276578e-07
19.91953391  -3.099630084e-07  2.285159965e-07
20  -3.025705197e-07  2.230680775e-07
20.08046609  -2.953822058e-07  2.17770471e-07
20.26122613  -2.799462541e-07  2.063940645e-07
20.52207505  -2.592943765e-07  1.911724764e-07
20.83472104  -2.368345605e-07  1.746171291e-07
21.16527896  -2.155110638e-07  1.588983198e-07
21.47792495  -1.973746277e-07  1.455281564e-07
21.73877387  -1.835931254e-07  1.353680456e-07
21.91953391  -1.746994026e-07  1.288111756e-07
22  -1.70902466e-07  1.260118581e-07
22.08046609  -1.672013596e-07  1.232831714e-07
22.26122613  -1.592225426e-07  1.174006227e-07
22.52207505  -1.484775113e-07  1.094784898e-07
22.83472104  -1.366937008e-07  1.007903201e-07
23.16527896  -1.254028119e-07  9.246543848e-08
23.47792495  -1.157128106e-07  8.532080925e-08
23.73877387  -1.082916211e-07  7.984896595e-08
23.91953391  -1.034739726e-07  7.629676117e-08
24  -1.014100732e-07  7.477497771e-08
24.08046609  -9.939402842e-08  7.328847638e-08
24.26122613  -9.503319837e-08  7.007307269e-08
24.52207505  -8.9127392e-08  6.571848182e-08
24.83472104  -8.260405552e-08  6.090853909e-08
25.16527896  -7.630425034e-08  5.626339674e-08
25.47792495  -7.085597489e-08  5.224611414e-08
25.73877387  -6.665530664e-08  4.914874672e-08
25.91953391  -6.391449268e-08  4.712780145e-08
26  -6.273683883e-08  4.625945509e-08
26.08046609  -6.158442076e-08  4.540971603e-08
26.26122613  -5.908448141e-08  4.356637675e-08
26.52207505  -5.568253531e-08  4.105793709e-08
26.83472104  -5.190175463e-08  3.827015918e-08
27.16527896  -4.822586082e-08  3.555971757e-08
27.47792495  -4.50258311e-08  3.320015534e-08
27.73877387  -4.25443602e-08  3.137042604e-08
27.91953391  -4.091821718e-08  3.017137811e-08
28  -4.02177296e-08  2.96548686e-08
28.08046609  -3.953119233e-08  2.91486454e-08
28.26122613  -3.803819355e-08  2.804777185e-08
28.52207505  -3.599807636e-08  2.654347621e-08
28.83472104  -3.371875976e-08  2.48628047e-08
29.16527896  -3.148976376e-08  2.321923712e-08
29.47792495  -2.953825435e-08  2.178027621e-08
29.73877387  -2.801740917e-08  2.065886884e-08
29.91953391  -2.701701772e-08  1.992122214e-08
30  -2.658513268e-08  1.960276822e-08
30.08046609  -2.616128081e-08  1.929023761e-08
30.26122613  -2.523755419e-08  1.860912028e-08
30.52207505  -2.397077518e-08  1.767505044e-08
30.83472104  -2.254894848e-08  1.662665486e-08
31.16527896  -2.11514597e-08  1.5596205e-08
31.47792495  -1.992186054e-08  1.468954991e-08
31.73877387  -1.895944447e-08  1.397990445e-08
31.91953391  -1.832429339e-08  1.351157053e-08
32  -1.804955983e-08  1.330899347e-08
32.08046609  -1.777961983e-08  1.310995097e-08
32.26122613  -1.719021368e-08  1.267534745e-08
32.52207505  -1.637936307e-08  1.207746002e-08
32.83472104  -1.546559078e-08  1.140368242e-08
33.16527896  -1.456346031e-08  1.0738489e-08
33.47792495  -1.376623941e-08  1.015065153e-08
33.73877387  -1.313985994e-08  9.688785406e-09
33.91953391  -1.272527727e-08  9.383089415e-09
34  -1.254564538e-08  9.250636349e-09
34.08046609  -1.236896488e-08  9.120359505e-09
34.26122613  -1.198254594e-08  8.835430279e-09
34.52207505  -1.144946405e-08  8.442357897e-09
34.83472104  -1.084657168e-08  7.997810178e-09
35.16527896  -1.02490146e-08  7.557196484e-09
35.47792495  -9.718903049e-09  7.166314306e-09
35.73877387  -9.300978125e-09  6.858153875e-09
35.91953391  -9.023652424e-09  6.653665454e-09
36  -8.903310302e-09  6.564930186e-09
36.08046609  -8.78483643e-09  6.477572487e-09
36.26122613  -8.525337944e-09  6.286229112e-09
36.52207505  -8.166460154e-09  6.021607578e-09
36.83472104  -7.759293933e-09  5.721380166e-09
37.16527896  -7.35431341e-09  5.422764396e-09
37.47792495  -6.993801343e-09  5.156937814e-09
37.73877387  -6.708722074e-09  4.946732235e-09
37.91953391  -6.519113949e-09  4.806923101e-09
38  -6.436724715e-09  4.746172711e-09
38.08046609  -6.35554771e-09  4.686316169e-09
38.26122613  -6.177506549e-09  4.555036032e-09
38.52207505  -5.93073443e-09  4.37307655e-09
38.83472104  -5.64996004e-09  4.166045209e-09
39.16527896  -5.369813104e-09  3.959476527e-09
39.47792495  -5.119654022e-09  3.775019639e-09
39.73877387  -4.921298845e-09  3.628760793e-09
39.91953391  -4.789098219e-09  3.531281558e-09
40  -4.731584142e-09  3.488873073e-09
40.08046609  -4.67487428e-09  3.447057583e-09
40.26122613  -4.550347183e-09  3.355236488e-09
40.52207505  -4.377402244e-09  3.227714093e-09
40.83472104  -4.180121998e-09  3.082247857e-09
41.16527896  -3.982723338e-09  2.936694307e-09
41.47792495  -3.805961466e-09  2.806357464e-09
41.73877387  -3.665459237e-09  2.702756973e-09
41.91953391  -3.571641367e-09  2.633579583e-09
42  -3.530780937e-09  2.603450804e-09
42.08046609  -3.490464831e-09  2.573723387e-09
42.26122613  -3.401840572e-09  2.508375549e-09
42.52207505  -3.278534949e-09  2.417455119e-09
42.83472104  -3.137551463e-09  2.313499768e-09
43.16527896  -2.996120003e-09  2.2092141e-09
43.47792495  -2.869152711e-09  2.115593708e-09
43.73877387  -2.768005127e-09  2.041011692e-09
43.91953391  -2.70035076e-09  1.99112618e-09
44  -2.670855896e-09  1.969377895e-09
44.08046609  -2.641736203e-09  1.947906246e-09
44.26122613  -2.57766142e-09  1.90066017e-09
44.52207505  -2.48836527e-09  1.834816908e-09
44.83472104  -2.386050789e-09  1.759374472e-09
45.16527896  -2.283170445e-09  1.683514791e-09
45.47792495  -2.190597924e-09  1.61525567e-09
45.73877387  -2.116700472e-09  1.560766767e-09
45.91953391  -2.067196153e-09  1.524264343e-09
46  -2.045594397e-09  1.508336108e-09
46.08046609  -2.024255539e-09  1.492601723e-09
46.26122613  -1.977259538e-09  1.45794883e-09
46.52207505  -1.91166615e-09  1.409582997e-09
46.83472104  -1.8363645e-09  1.354058697e-09
47.16527896  -1.760483954e-09  1.298107543e-09
47.47792495  -1.692061477e-09  1.247655658e-09
