#L=7 M=3
#R     Re(V)   Im(V)

0.08046609183  3.528757512e-11  2.365445239e-11
0.2612261349  1.341402153e-07  8.991675109e-08
0.5220750502  1.709199557e-05  1.145301632e-05
0.8347210423  0.0004569670302  0.0003059899921
1.165278958  0.004728435085  0.003163069132
1.47792495  0.02499948045  0.01670554085
1.738773865  0.0780914006  0.05213803721
1.919533908  0.1561710156  0.1042126681
2  0.2080027337  0.1389305574
2.080466092  0.1517822072  0.1012915218
2.261226135  0.07773371344  0.05190911632
2.52207505  0.03214562349  0.0214584384
2.834721042  0.01207892514  0.007951375214
3.165278958  0.00395006856  0.002285025639
3.47792495  -1.853963328e-05  -0.0007770144548
3.738773865  -0.002764444222  -0.003175305239
3.919533908  -0.004862890662  -0.005136718675
4  -0.00591493313  -0.006144523674
4.080466092  -0.005004449331  -0.005197431782
4.261226135  -0.003463982126  -0.00359571775
4.52207505  -0.002070037685  -0.002147344575
4.834721042  -0.001139256792  -0.001181007086
5.165278958  -0.000616240527  -0.0006384528529
5.47792495  -0.0003479042066  -0.000360290568
5.738773865  -0.0002163994391  -0.0002240455274
5.919533908  -0.0001555217969  -0.0001609969506
6  -0.0001341357669  -0.0001388526869
6.080466092  -0.0001155987618  -0.000119660576
6.261226135  -8.243838912e-05  -8.533380541e-05
6.52207505  -4.987180014e-05  -5.162970952e-05
6.834721042  -2.624286983e-05  -2.718130802e-05
7.165278958  -1.213560306e-05  -1.258710356e-05
7.47792495  -4.738254365e-06  -4.934444407e-06
7.738773865  -1.190923002e-06  -1.263955746e-06
7.919533908  3.665008262e-07  3.481306706e-07
8  8.859227595e-07  8.859779431e-07
8.080466092  1.317921254e-06  1.333434012e-06
8.261226135  2.027288286e-06  2.068664913e-06
8.52207505  2.582293377e-06  2.645077198e-06
8.834721042  2.787664887e-06  2.860426411e-06
9.165278958  2.704267314e-06  2.777202163e-06
9.47792495  2.486917972e-06  2.555083785e-06
9.738773865  2.262233851e-06  2.324749315e-06
9.919533908  2.099302806e-06  2.157545657e-06
10  2.026763752e-06  2.083074847e-06
10.08046609  1.954770555e-06  2.009150435e-06
10.26122613  1.796534996e-06  1.846630526e-06
10.52207505  1.580617744e-06  1.624800516e-06
10.83472104  1.346137506e-06  1.383837735e-06
11.16527896  1.12944586e-06  1.161115741e-06
