#L=7 M=2
#R     Re(V)   Im(V)

0.08046609183  -3.312340983e-16  2.016130338e-14
0.2612261349  2.784999252e-16  7.054930361e-11
0.5220750502  4.927914479e-18  9.024217608e-09
0.8347210423  -1.053470751e-16  2.432046463e-07
1.165278958  -4.18481826e-17  2.547617096e-06
1.47792495  -2.480252611e-15  1.367351164e-05
1.738773865  -1.517863172e-15  4.335549007e-05
1.919533908  -1.924079869e-16  8.771262575e-05
2  1.34880337e-15  0.0001175963896
2.080466092  2.117330635e-15  0.0001559060611
2.261226135  6.013927926e-16  0.0002831953806
2.52207505  -1.278300545e-15  0.0006207920799
2.834721042  4.345321315e-16  0.001443154567
3.165278958  -4.854555737e-16  0.003209108136
3.47792495  6.197804467e-17  0.006359453033
3.738773865  1.696553417e-16  0.01075163106
3.919533908  1.99887905e-16  0.01513920094
4  -1.795667615e-16  0.01753673113
4.080466092  7.0514764e-17  0.01484143455
4.261226135  8.040000999e-17  0.01028264052
4.52207505  2.615187606e-17  0.006158274851
4.834721042  -4.976776897e-17  0.003403194634
5.165278958  2.603929999e-17  0.001852833508
5.47792495  -2.682185293e-17  0.001055271803
5.738773865  8.660199479e-18  0.0006629793779
5.919533908  -6.61387703e-18  0.0004806872918
6  -7.473709791e-18  0.0004164753828
6.080466092  1.641038054e-20  0.0003607163455
6.261226135  -3.514820519e-18  0.0002606496284
6.52207505  -6.761313853e-18  0.0001617357622
6.834721042  2.107694588e-19  8.918167353e-05
7.165278958  -6.930537928e-18  4.512686889e-05
7.47792495  8.148761331e-18  2.145341056e-05
7.738773865  1.208452359e-18  9.725687054e-06
7.919533908  1.372166523e-18  4.383482149e-06
8  8.994701732e-19  2.54813583e-06
8.080466092  -2.305381001e-19  9.876851697e-07
8.261226135  2.548157699e-18  -1.690249183e-06
8.52207505  7.53293744e-19  -4.04829032e-06
8.834721042  1.026644415e-18  -5.356646977e-06
9.165278958  -1.115546332e-20  -5.69929972e-06
9.47792495  -2.833322101e-19  -5.499398467e-06
9.738773865  -9.729824021e-21  -5.135951851e-06
9.919533908  -1.833258593e-19  -4.832296755e-06
10  1.226144817e-19  -4.69004823e-06
10.08046609  3.103796376e-19  -4.545419898e-06
10.26122613  -7.581312551e-20  -4.217435944e-06
10.52207505  1.473336421e-19  -3.752013181e-06
10.83472104  -2.112363138e-20  -3.228573756e-06
11.16527896  -6.795548029e-20  -2.731698101e-06
11.47792495  1.059416166e-20  -2.320216352e-06
11.73877387  4.843202424e-20  -2.019603853e-06
11.91953391  -1.787953245e-20  -1.832787887e-06
12  2.962813409e-20  -1.754981958e-06
12.08046609  4.930250882e-20  -1.680341239e-06
12.26122613  -3.507910231e-20  -1.523700819e-06
12.52207505  -9.584896484e-21  -1.322658334e-06
12.83472104  -7.899218821e-20  -1.116369715e-06
13.16527896  -6.114828813e-20  -9.336998438e-07
13.47792495  6.754174443e-20  -7.893045131e-07
13.73877387  1.041777128e-19  -6.867477508e-07
13.91953391  2.257755133e-20  -6.239863767e-07
14  3.092654464e-20  -5.980296612e-07
14.08046609  1.190210682e-20  -5.732171606e-07
14.26122613  -9.288578621e-20  -5.213893972e-07
14.52207505  -3.749495042e-20  -4.552434648e-07
14.83472104  -4.690914145e-20  -3.876197672e-07
15.16527896  1.475129511e-21  -3.27747717e-07
15.47792495  -1.420222312e-20  -2.802702054e-07
15.73877387  -4.897171735e-20  -2.463778905e-07
15.91953391  2.297107049e-20  -2.255310993e-07
16  -4.277041417e-20  -2.168797294e-07
16.08046609  2.644159339e-20  -2.085911934e-07
16.26122613  2.162455657e-20  -1.912121749e-07
16.52207505  1.36560601e-20  -1.68877385e-07
16.83472104  -3.924736713e-21  -1.458180616e-07
17.16527896  3.38078104e-20  -1.251571685e-07
17.47792495  -1.34302011e-20  -1.085644708e-07
17.73877387  9.725917117e-22  -9.657907249e-08
17.91953391  1.709133771e-20  -8.913788005e-08
18  6.170858307e-20  -8.603245497e-08
18.08046609  -3.893287891e-20  -8.304699968e-08
18.26122613  -2.853281754e-20  -7.675221701e-08
18.52207505  1.419781835e-20  -6.858508769e-08
18.83472104  1.153178154e-20  -6.004720132e-08
19.16527896  -6.7973348e-21  -5.22888881e-08
19.47792495  -7.642592136e-21  -4.596967166e-08
19.73877387  -7.322789263e-21  -4.134742229e-08
19.91953391  3.62691383e-21  -3.844989476e-08
20  -4.304364128e-20  -3.723378767e-08
20.08046609  -2.444002067e-20  -3.606061308e-08
20.26122613  -1.662734182e-20  -3.35732417e-08
20.52207505  -9.966338895e-21  -3.031578936e-08
20.83472104  3.581866555e-21  -2.686935607e-08
21.16527896  -2.549057686e-20  -2.369570717e-08
21.47792495  2.062069461e-20  -2.107667012e-08
21.73877387  -1.495656691e-20  -1.913880157e-08
21.91953391  -8.290915406e-21  -1.791336739e-08
22  -1.158696532e-20  -1.739641004e-08
22.08046609  -2.977424083e-20  -1.689615267e-08
22.26122613  -7.805285688e-21  -1.583022563e-08
22.52207505  -3.828097903e-21  -1.442264775e-08
22.83472104  -4.325538353e-21  -1.291750496e-08
23.16527896  -1.421899635e-20  -1.151519737e-08
23.47792495  -2.200788117e-20  -1.034462537e-08
23.73877387  3.842541782e-20  -9.469791849e-09
23.91953391  -1.152309816e-20  -8.912375612e-09
24  2.47545109e-20  -8.676182944e-09
24.08046609  6.6199141e-21  -8.447005742e-09
24.26122613  -1.743161348e-20  -7.956583718e-09
24.52207505  1.730124916e-20  -7.30430963e-09
24.83472104  3.384028904e-20  -6.600408091e-09
25.16527896  6.0581563e-21  -5.937969764e-09
25.47792495  -2.926900621e-21  -5.379535084e-09
25.73877387  -7.552649726e-21  -4.958586404e-09
25.91953391  7.2177063e-21  -4.688623032e-09
26  -1.863149068e-20  -4.573796999e-09
26.08046609  -1.546778787e-20  -4.462124507e-09
26.26122613  9.552796988e-21  -4.22227118e-09
26.52207505  4.492568429e-21  -3.901289247e-09
26.83472104  3.591183946e-21  -3.552167613e-09
27.16527896  1.46175268e-20  -3.220760565e-09
27.47792495  1.036513827e-20  -2.939013461e-09
27.73877387  2.053022811e-20  -2.725058329e-09
27.91953391  8.397401961e-21  -2.587075302e-09
28  1.707107486e-20  -2.528193621e-09
28.08046609  1.395834253e-20  -2.470815259e-09
28.26122613  -1.433941157e-20  -2.34718412e-09
28.52207505  -1.622318227e-20  -2.180854486e-09
28.83472104  2.36574174e-20  -1.998711281e-09
29.16527896  -4.14446068e-20  -1.824514864e-09
29.47792495  -2.622727675e-21  -1.675334378e-09
29.73877387  -1.260903419e-20  -1.561322061e-09
29.91953391  1.915463428e-20  -1.487436684e-09
30  -1.49873895e-20  -1.455818005e-09
30.08046609  2.66688073e-20  -1.424953449e-09
30.26122613  7.062671203e-21  -1.358266807e-09
30.52207505  -3.162920748e-21  -1.268133326e-09
30.83472104  1.468683885e-20  -1.168845952e-09
31.16527896  -5.623498712e-21  -1.073271025e-09
31.47792495  -1.056291707e-20  -9.908977745e-10
31.73877387  3.998829968e-21  -9.275909447e-10
31.91953391  1.088496018e-20  -8.86391039e-10
32  -2.318671387e-21  -8.68716098e-10
32.08046609  -1.773217891e-20  -8.514366686e-10
32.26122613  -1.276059548e-21  -8.140119302e-10
32.52207505  1.247825303e-20  -7.63223558e-10
32.83472104  -1.57825081e-20  -7.069865044e-10
33.16527896  -6.955512477e-21  -6.525421261e-10
33.47792495  1.631224153e-20  -6.053541896e-10
33.73877387  1.27610582e-20  -5.689098459e-10
33.91953391  2.224498419e-21  -5.451032999e-10
34  8.225898851e-21  -5.348678383e-10
34.08046609  4.490058797e-21  -5.24848086e-10
34.26122613  -6.957652566e-21  -5.031003462e-10
34.52207505  6.330513587e-21  -4.734811494e-10
34.83472104  9.637644846e-21  -4.405337039e-10
35.16527896  1.492847994e-20  -4.084748345e-10
35.47792495  -1.214198153e-20  -3.805503786e-10
35.73877387  -7.584073107e-21  -3.588894216e-10
35.91953391  1.930597048e-22  -3.446928747e-10
36  7.207210234e-21  -3.385773031e-10
36.08046609  -9.329058172e-21  -3.325835269e-10
36.26122613  1.187027605e-20  -3.19549371e-10
36.52207505  1.368163468e-22  -3.017409776e-10
36.83472104  5.121130386e-21  -2.818504737e-10
37.16527896  3.985745002e-21  -2.624089698e-10
37.47792495  -4.634549249e-21  -2.453994329e-10
37.73877387  -1.349266286e-22  -2.321536767e-10
37.91953391  -8.370929143e-21  -2.234466915e-10
38  1.060722038e-20  -2.196893884e-10
38.08046609  -1.060263315e-20  -2.160030134e-10
38.26122613  -4.421873093e-21  -2.079729179e-10
38.52207505  7.402951412e-21  -1.969701742e-10
38.83472104  2.311406775e-21  -1.846359794e-10
39.16527896  7.178834498e-21  -1.725313658e-10
39.47792495  3.511199628e-21  -1.618986835e-10
39.73877387  3.417810118e-21  -1.535897209e-10
39.91953391  2.346009111e-21  -1.481133343e-10
40  4.762724304e-22  -1.457464293e-10
40.08046609  4.460448165e-26  -1.434219914e-10
40.26122613  4.302735276e-26  -1.383508649e-10
40.52207505  4.086083058e-26  -1.313845935e-10
40.83472104  3.842411364e-26  -1.235495334e-10
41.16527896  3.602401383e-26  -1.158322126e-10
41.47792495  3.39081762e-26  -1.090289131e-10
41.73877387  3.224950905e-26  -1.036956072e-10
41.91953391  3.115365752e-26  -1.00171988e-10
42  3.067935888e-26  -9.864692023e-11
42.08046609  3.021316836e-26  -9.714792351e-11
42.26122613  2.919468928e-26  -9.387308894e-11
42.52207505  2.779233305e-26  -8.936392944e-11
42.83472104  2.621036443e-26  -8.427724123e-11
43.16527896  2.464700695e-26  -7.925039564e-11
43.47792495  2.326430776e-26  -7.48044417e-11
43.73877387  2.217725392e-26  -7.13091107e-11
43.91953391  2.145748524e-26  -6.899475452e-11
44  2.114555999e-26  -6.799178491e-11
44.08046609  2.083872672e-26  -6.70051881e-11
44.26122613  2.016754698e-26  -6.484706563e-11
44.52207505  1.924143348e-26  -6.186922489e-11
44.83472104  1.819385911e-26  -5.850083684e-11
45.16527896  1.715548606e-26  -5.51620349e-11
45.47792495  1.623437142e-26  -5.220026757e-11
45.73877387  1.550830943e-26  -4.986567579e-11
45.91953391  1.50266037e-26  -4.83167912e-11
46  1.481760282e-26  -4.764476627e-11
46.08046609  1.461186655e-26  -4.698323847e-11
46.26122613  1.416131189e-26  -4.553451752e-11
46.52207505  1.353841998e-26  -4.353166052e-11
46.83472104  1.283208123e-26  -4.126048719e-11
47.16527896  1.213001516e-26  -3.900305227e-11
47.47792495  1.150553363e-26  -3.699508397e-11
47.73877387  1.101210948e-26  -3.540851979e-11
47.91953391  1.068414863e-26  -3.435398902e-11
48  1.054170124e-26  -3.389596131e-11
48.08046609  1.040138688e-26  -3.344479219e-11
48.26122613  1.009377898e-26  -3.245570463e-11
48.52207505  9.667756003e-27  -3.108586327e-11
48.83472104  9.183556725e-27  -2.952896087e-11
49.16527896  8.70106758e-27  -2.797755725e-11
49.47792495  8.270824068e-27  -2.659414512e-11
49.73877387  7.930124441e-27  -2.549865388e-11
49.91953391  7.703293214e-27  -2.476929698e-11
50  7.60467342e-27  -2.445219326e-11
50.08046609  7.507471734e-27  -2.413964934e-11
50.26122613  7.294171497e-27  -2.345380022e-11
50.52207505  6.9982776e-27  -2.250237806e-11
50.83472104  6.661270125e-27  -2.141875863e-11
51.16527896  6.324669449e-27  -2.033644722e-11
51.47792495  6.023824962e-27  -1.936910686e-11
51.73877387  5.785108973e-27  -1.860153551e-11
51.91953391  5.625929976e-27  -1.808970871e-11
52  5.55666038e-27  -1.78669781e-11
52.08046609  5.488348806e-27  -1.764732793e-11
52.26122613  5.338310671e-27  -1.716489282e-11
52.52207505  5.129860975e-27  -1.649464021e-11
52.83472104  4.891986532e-27  -1.572977477e-11
53.16527896  4.653886926e-27  -1.496418534e-11
53.47792495  4.440626266e-27  -1.427846347e-11
53.73877387  4.271088576e-27  -1.373332917e-11
53.91953391  4.157876329e-27  -1.336930463e-11
54  4.108568426e-27  -1.321075918e-11
54.08046609  4.059917379e-27  -1.305432579e-11
54.26122613  3.952972353e-27  -1.271045298e-11
54.52207505  3.804184685e-27  -1.223203864e-11
54.83472104  3.634088466e-27  -1.168510843e-11
55.16527896  3.463490922e-27  -1.113656625e-11
55.47792495  3.31038826e-27  -1.064427741e-11
55.73877387  3.188462514e-27  -1.025223534e-11
55.91953391  3.10693566e-27  -9.990092539e-12
56  3.071400049e-27  -9.875830744e-12
56.08046609  3.036321028e-27  -9.763037078e-12
56.26122613  2.959150548e-27  -9.514901836e-12
56.52207505  2.851647393e-27  -9.169234404e-12
56.83472104  2.728542615e-27  -8.773401256e-12
57.16527896  2.6048456e-27  -8.375663817e-12
