#L=7 M=6
#R     Re(V)   Im(V)

0.08046609183  -1.821787583e-16  1.592685592e-14
0.2612261349  -1.700042419e-17  6.489538897e-11
0.5220750502  -4.669369087e-17  8.301072802e-09
0.8347210423  -1.064158739e-17  2.237157365e-07
1.165278958  8.726727069e-17  2.343466885e-06
1.47792495  3.80415457e-17  1.257780134e-05
1.738773865  5.128799454e-16  3.988125038e-05
1.919533908  -1.150965177e-15  8.068388071e-05
2  -8.069653193e-16  0.0001081729453
2.080466092  6.28273295e-17  0.0001434127177
2.261226135  -6.039124163e-16  0.0002605018617
2.52207505  -6.138880609e-16  0.0005710456584
2.834721042  1.132751635e-16  0.001327509124
3.165278958  -5.399810247e-17  0.002951950142
3.47792495  1.237207431e-17  0.005849845966
3.738773865  -5.52785778e-17  0.009890062127
3.919533908  -3.822451219e-17  0.0139260394
4  -1.963886817e-17  0.01613144642
4.080466092  -2.000389126e-17  0.01365213417
4.261226135  -8.930138974e-18  0.009458653576
4.52207505  -1.312209877e-17  0.005664788954
4.834721042  -6.384684373e-18  0.003130483754
5.165278958  -3.628182774e-18  0.001704358939
5.47792495  -9.110948465e-19  0.000970708875
5.738773865  -7.517801513e-19  0.0006098523284
5.919533908  -4.331360801e-19  0.0004421679977
6  -9.76195712e-19  0.0003831016324
6.080466092  -8.591581379e-19  0.000331810778
6.261226135  -7.74430468e-19  0.000239762786
6.52207505  -1.238089005e-20  0.0001487752627
6.834721042  -2.410454065e-19  8.203520812e-05
7.165278958  5.322097826e-21  4.15106819e-05
7.47792495  -1.288036524e-19  1.973426748e-05
7.738773865  6.267435214e-21  8.9463309e-06
7.919533908  1.718008381e-20  4.032217115e-06
8  -1.733489602e-19  2.343944051e-06
8.080466092  -1.60582875e-19  9.085382148e-07
8.261226135  -9.74228809e-20  -1.554803111e-06
8.52207505  8.829151011e-20  -3.723885478e-06
8.834721042  -3.748416252e-20  -4.927398558e-06
9.165278958  -1.529338278e-20  -5.242593239e-06
9.47792495  -7.10624797e-20  -5.058710831e-06
9.738773865  9.054857833e-21  -4.724388569e-06
9.919533908  2.384843636e-20  -4.445066507e-06
10  5.862362647e-20  -4.314216895e-06
10.08046609  -2.334889365e-21  -4.181178179e-06
10.26122613  -5.4097808e-20  -3.879476822e-06
10.52207505  -1.108667704e-20  -3.451350149e-06
10.83472104  2.21580697e-20  -2.969855907e-06
11.16527896  -3.051910279e-20  -2.512796782e-06
