#L=6 M=3
#R     Re(V)   Im(V)

0.08046609183  -2.680480856e-13  -2.686182567e-13
0.2612261349  -3.155599843e-10  -3.155601255e-10
0.5220750502  -2.022287822e-08  -2.022287844e-08
0.8347210423  -3.417716073e-07  -3.417716078e-07
1.165278958  -2.574757668e-06  -2.574757668e-06
1.47792495  -1.094807811e-05  -1.094807811e-05
1.738773865  -2.964382342e-05  -2.964382342e-05
1.919533908  -5.451736357e-05  -5.451736357e-05
2  -7.026629119e-05  -7.026629119e-05
2.080466092  -8.970514684e-05  -8.970514684e-05
2.261226135  -0.0001505077171  -0.0001505077171
2.52207505  -0.0002975609567  -0.0002975609567
2.834721042  -0.000620006646  -0.000620006646
3.165278958  -0.001244574964  -0.001244574964
3.47792495  -0.002261468412  -0.002261468412
3.738773865  -0.003578124158  -0.003578124158
3.919533908  -0.004825190591  -0.004825190591
4  -0.005486303991  -0.005486303991
4.080466092  -0.004721905572  -0.004721905572
4.261226135  -0.003390084725  -0.003390084725
4.52207505  -0.002126341142  -0.002126341142
4.834721042  -0.001232337582  -0.001232337582
5.165278958  -0.0006990439219  -0.0006990439219
5.47792495  -0.0004100175341  -0.0004100175341
5.738773865  -0.0002618640285  -0.0002618640285
5.919533908  -0.0001910377063  -0.0001910377063
6  -0.0001657036895  -0.0001657036895
6.080466092  -0.0001435152009  -0.0001435152009
6.261226135  -0.000103192202  -0.000103192202
6.52207505  -6.25819503e-05  -6.25819503e-05
6.834721042  -3.222912284e-05  -3.222912284e-05
7.165278958  -1.358179095e-05  -1.358179095e-05
7.47792495  -3.585627311e-06  -3.585627311e-06
7.738773865  1.262530087e-06  1.262530087e-06
7.919533908  3.390339965e-06  3.390339965e-06
8  4.095421708e-06  4.095421708e-06
8.080466092  4.677407621e-06  4.677407621e-06
8.261226135  5.613481911e-06  5.613481911e-06
8.52207505  6.288342139e-06  6.288342139e-06
8.834721042  6.42155899e-06  6.42155899e-06
9.165278958  6.112758625e-06  6.112758625e-06
9.47792495  5.611552603e-06  5.611552603e-06
9.738773865  5.129166366e-06  5.129166366e-06
9.919533908  4.785699861e-06  4.785699861e-06
10  4.633448087e-06  4.633448087e-06
10.08046609  4.482501758e-06  4.482501758e-06
10.26122613  4.150686753e-06  4.150686753e-06
10.52207505  3.696280365e-06  3.696280365e-06
10.83472104  3.198453949e-06  3.198453949e-06
11.16527896  2.73228798e-06  2.73228798e-06
11.47792495  2.347640835e-06  2.347640835e-06
11.73877387  2.066029579e-06  2.066029579e-06
11.91953391  1.890306895e-06  1.890306895e-06
12  1.816887686e-06  1.816887686e-06
12.08046609  1.746299906e-06  1.746299906e-06
12.26122613  1.597585999e-06  1.597585999e-06
12.52207505  1.40530127e-06  1.40530127e-06
12.83472104  1.205851578e-06  1.205851578e-06
13.16527896  1.02684818e-06  1.02684818e-06
13.47792495  8.832846073e-07  8.832846073e-07
13.73877387  7.799198121e-07  7.799198121e-07
13.91953391  7.159737339e-07  7.159737339e-07
14  6.893533894e-07  6.893533894e-07
14.08046609  6.638036017e-07  6.638036017e-07
14.26122613  6.100851481e-07  6.100851481e-07
14.52207505  5.407526892e-07  5.407526892e-07
14.83472104  4.68814072e-07  4.68814072e-07
15.16527896  4.040388428e-07  4.040388428e-07
15.47792495  3.517891432e-07  3.517891432e-07
15.73877387  3.139134643e-07  3.139134643e-07
15.91953391  2.903382795e-07  2.903382795e-07
16  2.804854947e-07  2.804854947e-07
16.08046609  2.710052276e-07  2.710052276e-07
16.26122613  2.509893074e-07  2.509893074e-07
16.52207505  2.249623824e-07  2.249623824e-07
16.83472104  1.976786654e-07  1.976786654e-07
17.16527896  1.728117052e-07  1.728117052e-07
17.47792495  1.524978396e-07  1.524978396e-07
17.73877387  1.376005522e-07  1.376005522e-07
17.91953391  1.282433515e-07  1.282433515e-07
18  1.243114493e-07  1.243114493e-07
18.08046609  1.205156127e-07  1.205156127e-07
18.26122613  1.124582514e-07  1.124582514e-07
18.52207505  1.018853459e-07  1.018853459e-07
18.83472104  9.066972589e-08  9.066972589e-08
19.16527896  8.031085905e-08  8.031085905e-08
19.47792495  7.173603501e-08  7.173603501e-08
19.73877387  6.537361787e-08  6.537361787e-08
19.91953391  6.134141749e-08  6.134141749e-08
20  5.96381631e-08  5.96381631e-08
20.08046609  5.798858921e-08  5.798858921e-08
20.26122613  5.446909206e-08  5.446909206e-08
20.52207505  4.981096173e-08  4.981096173e-08
20.83472104  4.481493982e-08  4.481493982e-08
21.16527896  4.014412656e-08  4.014412656e-08
21.47792495  3.623132286e-08  3.623132286e-08
21.73877387  3.329758847e-08  3.329758847e-08
21.91953391  3.142355537e-08  3.142355537e-08
22  3.062826784e-08  3.062826784e-08
22.08046609  2.98558786e-08  2.98558786e-08
22.26122613  2.820050508e-08  2.820050508e-08
22.52207505  2.599307473e-08  2.599307473e-08
22.83472104  2.360272664e-08  2.360272664e-08
23.16527896  2.134433438e-08  2.134433438e-08
23.47792495  1.943288663e-08  1.943288663e-08
23.73877387  1.798680584e-08  1.798680584e-08
23.91953391  1.705677908e-08  1.705677908e-08
24  1.666053469e-08  1.666053469e-08
24.08046609  1.627477257e-08  1.627477257e-08
24.26122613  1.544482675e-08  1.544482675e-08
24.52207505  1.433096947e-08  1.433096947e-08
24.83472104  1.311489497e-08  1.311489497e-08
25.16527896  1.195558121e-08  1.195558121e-08
25.47792495  1.096571326e-08  1.096571326e-08
25.73877387  1.021108411e-08  1.021108411e-08
25.91953391  9.722936363e-09  9.722936363e-09
26  9.514252961e-09  9.514252961e-09
26.08046609  9.310672299e-09  9.310672299e-09
26.26122613  8.871237407e-09  8.871237407e-09
26.52207505  8.2782317e-09  8.2782317e-09
26.83472104  7.626255128e-09  7.626255128e-09
27.16527896  6.99990985e-09  6.99990985e-09
27.47792495  6.461072637e-09  6.461072637e-09
27.73877387  6.047580886e-09  6.047580886e-09
27.91953391  5.778772072e-09  5.778772072e-09
28  5.66352179e-09  5.66352179e-09
28.08046609  5.550890858e-09  5.550890858e-09
28.26122613  5.30708485e-09  5.30708485e-09
28.52207505  4.97651592e-09  4.97651592e-09
28.83472104  4.610872709e-09  4.610872709e-09
29.16527896  4.257264409e-09  4.257264409e-09
29.47792495  3.951075414e-09  3.951075414e-09
29.73877387  3.714773573e-09  3.714773573e-09
29.91953391  3.560492172e-09  3.560492172e-09
30  3.49417809e-09  3.49417809e-09
30.08046609  3.429271791e-09  3.429271791e-09
30.26122613  3.288427137e-09  3.288427137e-09
30.52207505  3.096674232e-09  3.096674232e-09
30.83472104  2.883459029e-09  2.883459029e-09
31.16527896  2.676066208e-09  2.676066208e-09
31.47792495  2.495464172e-09  2.495464172e-09
31.73877387  2.355390986e-09  2.355390986e-09
31.91953391  2.263592496e-09  2.263592496e-09
32  2.224048168e-09  2.224048168e-09
32.08046609  2.185291389e-09  2.185291389e-09
32.26122613  2.101009239e-09  2.101009239e-09
32.52207505  1.985849457e-09  1.985849457e-09
32.83472104  1.857208864e-09  1.857208864e-09
33.16527896  1.731444158e-09  1.731444158e-09
33.47792495  1.6213783e-09  1.6213783e-09
33.73877387  1.53563857e-09  1.53563857e-09
33.91953391  1.479261485e-09  1.479261485e-09
34  1.454928539e-09  1.454928539e-09
34.08046609  1.431051962e-09  1.431051962e-09
34.26122613  1.379030193e-09  1.379030193e-09
34.52207505  1.307723233e-09  1.307723233e-09
34.83472104  1.22774374e-09  1.22774374e-09
35.16527896  1.149200009e-09  1.149200009e-09
35.47792495  1.080156331e-09  1.080156331e-09
35.73877387  1.026163472e-09  1.026163472e-09
35.91953391  9.905564786e-10  9.905564786e-10
36  9.751615881e-10  9.75161588e-10
36.08046609  9.600395335e-10  9.600395335e-10
36.26122613  9.270362041e-10  9.27036204e-10
36.52207505  8.816698303e-10  8.816698303e-10
36.83472104  8.306008975e-10  8.306008975e-10
37.16527896  7.802473716e-10  7.802473715e-10
37.47792495  7.358094015e-10  7.358094015e-10
37.73877387  7.009379795e-10  7.009379795e-10
37.91953391  6.778805285e-10  6.778805285e-10
38  6.678961142e-10  6.678961142e-10
38.08046609  6.580794142e-10  6.580794142e-10
38.26122613  6.366223901e-10  6.366223901e-10
38.52207505  6.070526819e-10  6.070526819e-10
38.83472104  5.736576166e-10  5.736576166e-10
39.16527896  5.40611804e-10  5.40611804e-10
39.47792495  5.113448353e-10  5.113448353e-10
39.73877387  4.883068912e-10  4.883068912e-10
39.91953391  4.730378151e-10  4.730378151e-10
40  4.664167669e-10  4.664167669e-10
40.08046609  4.599014202e-10  4.599014202e-10
40.26122613  4.45640974e-10  4.45640974e-10
40.52207505  4.259438554e-10  4.259438554e-10
40.83472104  4.036332565e-10  4.036332565e-10
41.16527896  3.814842868e-10  3.814842868e-10
41.47792495  3.618053158e-10  3.618053158e-10
41.73877387  3.462711308e-10  3.462711308e-10
41.91953391  3.359533508e-10  3.359533508e-10
42  3.314736883e-10  3.314736883e-10
42.08046609  3.270621618e-10  3.270621618e-10
42.26122613  3.173945325e-10  3.173945325e-10
42.52207505  3.040135536e-10  3.040135536e-10
42.83472104  2.888168274e-10  2.888168274e-10
43.16527896  2.736857781e-10  2.736857781e-10
43.47792495  2.602030805e-10  2.602030805e-10
43.73877387  2.495329287e-10  2.495329287e-10
43.91953391  2.42432051e-10  2.42432051e-10
44  2.393455504e-10  2.393455504e-10
44.08046609  2.363038774e-10  2.363038774e-10
44.26122613  2.296307312e-10  2.296307312e-10
44.52207505  2.203770229e-10  2.203770229e-10
44.83472104  2.098421802e-10  2.098421802e-10
45.16527896  1.99324744e-10  1.99324744e-10
45.47792495  1.899282685e-10  1.899282685e-10
45.73877387  1.824746194e-10  1.824746194e-10
45.91953391  1.775054921e-10  1.775054921e-10
46  1.753433387e-10  1.753433387e-10
46.08046609  1.732112321e-10  1.732112321e-10
46.26122613  1.685287959e-10  1.685287959e-10
46.52207505  1.62024448e-10  1.62024448e-10
46.83472104  1.546032178e-10  1.546032178e-10
47.16527896  1.471760835e-10  1.471760835e-10
47.47792495  1.405244798e-10  1.405244798e-10
47.73877387  1.352369201e-10  1.352369201e-10
47.91953391  1.317061325e-10  1.317061325e-10
48  1.301683596e-10  1.301683596e-10
48.08046609  1.286510722e-10  1.286510722e-10
48.26122613  1.253157429e-10  1.253157429e-10
48.52207505  1.206753416e-10  1.206753416e-10
48.83472104  1.15370059e-10  1.15370059e-10
49.16527896  1.100486046e-10  1.100486046e-10
49.47792495  1.052722126e-10  1.052722126e-10
49.73877387  1.014678757e-10  1.014678757e-10
49.91953391  9.892372041e-11  9.892372041e-11
50  9.781468557e-11  9.781468557e-11
