#L=8 M=0
#R     Re(V)   Im(V)

0.08046609183  -1.859642594e-12  0
0.2612261349  -2.482153801e-08  0
0.5220750502  -6.319539767e-06  0
0.8347210423  -0.000270022493  0
1.165278958  -0.003898127701  0
1.47792495  -0.02612190694  0
1.738773865  -0.09594627753  0
1.919533908  -0.2117519423  0
2  -0.2939208497  0
2.080466092  -0.2064940768  0
2.261226135  -0.09836940048  0
2.52207505  -0.03914747688  0
2.834721042  -0.01988423809  0
3.165278958  -0.02222908538  0
3.47792495  -0.03943295709  0
3.738773865  -0.06798622342  0
3.919533908  -0.09850810331  0
4  -0.1157380679  0
4.080466092  -0.09665324133  0
4.261226135  -0.0652652027  0
4.52207505  -0.03805357866  0
4.834721042  -0.02069807322  0
5.165278958  -0.011305528  0
5.47792495  -0.006591372089  0
5.738773865  -0.004293617093  0
5.919533908  -0.003223893633  0
6  -0.002845213034  0
6.080466092  -0.002514893387  0
6.261226135  -0.001916379652  0
6.52207505  -0.001310996882  0
6.834721042  -0.0008469851263  0
7.165278958  -0.0005443779836  0
7.47792495  -0.000364622619  0
7.738773865  -0.0002641347702  0
7.919533908  -0.0002125299887  0
8  -0.0001932236698  0
8.080466092  -0.0001758330233  0
8.261226135  -0.0001427291242  0
8.52207505  -0.0001064500379  0
8.834721042  -7.576447462e-05  0
9.165278958  -5.35678632e-05  0
9.47792495  -3.903762884e-05  0
9.738773865  -3.022344344e-05  0
9.919533908  -2.54169382e-05  0
10  -2.355576984e-05  0
10.08046609  -2.184482882e-05  0
10.26122613  -1.848304084e-05  0
10.52207505  -1.460132082e-05  0
10.83472104  -1.109652787e-05  0
11.16527896  -8.377330706e-06  0
11.47792495  -6.474166774e-06  0
11.73877387  -5.251837656e-06  0
11.91953391  -4.556399075e-06  0
12  -4.280439039e-06  0
12.08046609  -4.023028112e-06  0
12.26122613  -3.505535793e-06  0
12.52207505  -2.884967906e-06  0
12.83472104  -2.297382262e-06  0
13.16527896  -1.817551122e-06  0
13.47792495  -1.464839098e-06  0
13.73877387  -1.228603168e-06  0
13.91953391  -1.08994161e-06  0
14  -1.033919661e-06  0
14.08046609  -9.810986537e-07  0
14.26122613  -8.730963944e-07  0
14.52207505  -7.399106587e-07  0
14.83472104  -6.093003012e-07  0
15.16527896  -4.985374905e-07  0
15.47792495  -4.141230874e-07  0
15.73877387  -3.558114177e-07  0
15.91953391  -3.207898259e-07  0
16  -3.064516646e-07  0
16.08046609  -2.928250617e-07  0
16.26122613  -2.646119203e-07  0
16.52207505  -2.290929515e-07  0
16.83472104  -1.933438209e-07  0
17.16527896  -1.621660996e-07  0
17.47792495  -1.37758244e-07  0
17.73877387  -1.205052236e-07  0
17.91953391  -1.099638796e-07  0
18  -1.056051168e-07  0
18.08046609  -1.01437908e-07  0
18.26122613  -9.272816584e-08  0
18.52207505  -8.159045064e-08  0
18.83472104  -7.015775935e-08  0
19.16527896  -5.997234357e-08  0
19.47792495  -5.183320085e-08  0
19.73877387  -4.597731394e-08  0
19.91953391  -4.235179237e-08  0
20  -4.08411143e-08  0
20.08046609  -3.939013102e-08  0
20.26122613  -3.633512999e-08  0
20.52207505  -3.238058406e-08  0
20.83472104  -2.825819707e-08  0
21.16527896  -2.452340542e-08  0
21.47792495  -2.149003999e-08  0
21.73877387  -1.927670089e-08  0
21.91953391  -1.78918072e-08  0
22  -1.731119194e-08  0
22.08046609  -1.675144465e-08  0
22.26122613  -1.556592485e-08  0
22.52207505  -1.40161529e-08  0
22.83472104  -1.238029041e-08  0
23.16527896  -1.087787111e-08  0
23.47792495  -9.64131458e-09  0
23.73877387  -8.728578141e-09  0
23.91953391  -8.152490262e-09  0
24  -7.909739126e-09  0
24.08046609  -7.674993904e-09  0
24.26122613  -7.17537574e-09  0
24.52207505  -6.516900111e-09  0
24.83472104  -5.814590476e-09  0
25.16527896  -5.16219186e-09  0
25.47792495  -4.619247612e-09  0
25.73877387  -4.214592217e-09  0
25.91953391  -3.95731552e-09  0
26  -3.848441387e-09  0
26.08046609  -3.742885413e-09  0
26.26122613  -3.51729646e-09  0
26.52207505  -3.217922682e-09  0
26.83472104  -2.895799459e-09  0
27.16527896  -2.593665718e-09  0
27.47792495  -2.339836866e-09  0
27.73877387  -2.14909326e-09  0
27.91953391  -2.027061412e-09  0
28  -1.975231527e-09  0
28.08046609  -1.924869968e-09  0
28.26122613  -1.816858188e-09  0
28.52207505  -1.67266801e-09  0
28.83472104  -1.516344277e-09  0
29.16527896  -1.368498151e-09  0
29.47792495  -1.243274752e-09  0
29.73877387  -1.14850179e-09  0
29.91953391  -1.087541243e-09  0
30  -1.06156804e-09  0
30.08046609  -1.036282241e-09  0
30.26122613  -9.818844381e-10  0
30.52207505  -9.08892481e-10  0
30.83472104  -8.292371483e-10  0
31.16527896  -7.533551375e-10  0
31.47792495  -6.886269731e-10  0
31.73877387  -6.393336503e-10  0
31.91953391  -6.074772054e-10  0
32  -5.938667996e-10  0
32.08046609  -5.805943718e-10  0
32.26122613  -5.519643297e-10  0
32.52207505  -5.133748582e-10  0
32.83472104  -4.710194434e-10  0
33.16527896  -4.304135279e-10  0
33.47792495  -3.95559677e-10  0
33.73877387  -3.688715267e-10  0
33.91953391  -3.515522692e-10  0
34  -3.441347544e-10  0
34.08046609  -3.368907264e-10  0
34.26122613  -3.212274662e-10  0
34.52207505  -3.00031429e-10  0
34.83472104  -2.766481346e-10  0
35.16527896  -2.541043941e-10  0
35.47792495  -2.346469317e-10  0
35.73877387  -2.196756588e-10  0
35.91953391  -2.099242161e-10  0
36  -2.057388306e-10  0
36.08046609  -2.01645958e-10  0
36.26122613  -1.927775275e-10  0
36.52207505  -1.807339628e-10  0
36.83472104  -1.673872233e-10  0
37.16527896  -1.544550809e-10  0
37.47792495  -1.432382268e-10  0
37.73877387  -1.345701384e-10  0
37.91953391  -1.289056211e-10  0
38  -1.264696745e-10  0
38.08046609  -1.240847677e-10  0
38.26122613  -1.189073824e-10  0
38.52207505  -1.118540498e-10  0
38.83472104  -1.040056809e-10  0
39.16527896  -9.636686989e-11  0
39.47792495  -8.971187148e-11  0
39.73877387  -8.454902523e-11  0
39.91953391  -8.116515328e-11  0
40  -7.97074376e-11  0
40.08046609  -7.827875333e-11  0
40.26122613  -7.517194668e-11  0
40.52207505  -7.09273413e-11  0
40.83472104  -6.618695964e-11  0
41.16527896  -6.155441452e-11  0
41.47792495  -5.750234774e-11  0
41.73877387  -5.434775233e-11  0
41.91953391  -5.227460537e-11  0
42  -5.138012496e-11  0
42.08046609  -5.050261848e-11  0
42.26122613  -4.859145808e-11  0
42.52207505  -4.597362222e-11  0
42.83472104  -4.304029936e-11  0
43.16527896  -4.016315327e-11  0
43.47792495  -3.763738945e-11  0
43.73877387  -3.566476212e-11  0
43.91953391  -3.436523094e-11  0
44  -3.380373445e-11  0
44.08046609  -3.325241318e-11  0
44.26122613  -3.204998301e-11  0
44.52207505  -3.039906271e-11  0
44.83472104  -2.854358524e-11  0
45.16527896  -2.671754179e-11  0
45.47792495  -2.510920741e-11  0
45.73877387  -2.384943563e-11  0
45.91953391  -2.301767897e-11  0
46  -2.265782847e-11  0
46.08046609  -2.230421798e-11  0
46.26122613  -2.153200715e-11  0
46.52207505  -2.046949233e-11  0
46.83472104  -1.927202407e-11  0
47.16527896  -1.808993903e-11  0
47.47792495  -1.704563573e-11  0
47.73877387  -1.622547528e-11  0
47.91953391  -1.568286857e-11  0
48  -1.54478354e-11  0
48.08046609  -1.521670945e-11  0
48.26122613  -1.471138653e-11  0
48.52207505  -1.401472185e-11  0
48.83472104  -1.322757914e-11  0
49.16527896  -1.244836177e-11  0
49.47792495  -1.175805459e-11  0
49.73877387  -1.121458209e-11  0
49.91953391  -1.085435632e-11  0
50  -1.069815118e-11  0
50.08046609  -1.054443977e-11  0
50.26122613  -1.020800932e-11  0
50.52207505  -9.74334662e-12  0
50.83472104  -9.217109937e-12  0
51.16527896  -8.694821152e-12  0
51.47792495  -8.230940804e-12  0
51.73877387  -7.864906766e-12  0
51.91953391  -7.621872933e-12  0
52  -7.516379113e-12  0
52.08046609  -7.41250517e-12  0
52.26122613  -7.184927939e-12  0
52.52207505  -6.870081457e-12  0
52.83472104  -6.512743901e-12  0
53.16527896  -6.157237378e-12  0
53.47792495  -5.840739581e-12  0
53.73877387  -5.590478633e-12  0
53.91953391  -5.424049011e-12  0
54  -5.351739077e-12  0
54.08046609  -5.280498658e-12  0
54.26122613  -5.124273962e-12  0
54.52207505  -4.907805958e-12  0
54.83472104  -4.661632401e-12  0
55.16527896  -4.416176292e-12  0
55.47792495  -4.197173202e-12  0
55.73877387  -4.023667373e-12  0
55.91953391  -3.908110942e-12  0
56  -3.857860564e-12  0
56.08046609  -3.80832707e-12  0
56.26122613  -3.699610768e-12  0
56.52207505  -3.548753986e-12  0
56.83472104  -3.37687648e-12  0
57.16527896  -3.205146063e-12  0
57.47792495  -3.051610081e-12  0
57.73877387  -2.929751307e-12  0
57.91953391  -2.848480461e-12  0
58  -2.813110733e-12  0
58.08046609  -2.778228318e-12  0
58.26122613  -2.701607087e-12  0
58.52207505  -2.595143151e-12  0
58.83472104  -2.47363423e-12  0
59.16527896  -2.351995688e-12  0
59.47792495  -2.243037285e-12  0
59.73877387  -2.156413437e-12  0
59.91953391  -2.098567445e-12  0
60  -2.07337337e-12  0
60.08046609  -2.048514919e-12  0
60.26122613  -1.993871169e-12  0
60.52207505  -1.917849316e-12  0
60.83472104  -1.830944084e-12  0
61.16527896  -1.743789759e-12  0
61.47792495  -1.665581797e-12  0
61.73877387  -1.603307295e-12  0
61.91953391  -1.56167142e-12  0
62  -1.543524631e-12  0
62.08046609  -1.525611837e-12  0
62.26122613  -1.486208522e-12  0
62.52207505  -1.431325205e-12  0
62.83472104  -1.368489746e-12  0
63.16527896  -1.305368125e-12  0
63.47792495  -1.248631469e-12  0
63.73877387  -1.203387309e-12  0
63.91953391  -1.173103618e-12  0
64  -1.159895875e-12  0
64.08046609  -1.146853151e-12  0
64.26122613  -1.118143901e-12  0
64.52207505  -1.07811189e-12  0
64.83472104  -1.032214488e-12  0
65.16527896  -9.86035251e-13  0
65.47792495  -9.444622405e-13  0
65.73877387  -9.112643367e-13  0
65.91953391  -8.890201776e-13  0
66  -8.793127084e-13  0
66.08046609  -8.697228726e-13  0
66.26122613  -8.486010354e-13  0
66.52207505  -8.191183946e-13  0
66.83472104  -7.852709151e-13  0
67.16527896  -7.511650347e-13  0
67.47792495  -7.204159171e-13  0
67.73877387  -6.958294225e-13  0
67.91953391  -6.793389213e-13  0
68  -6.721381641e-13  0
68.08046609  -6.650221132e-13  0
68.26122613  -6.493397731e-13  0
68.52207505  -6.274284594e-13  0
68.83472104  -6.022416109e-13  0
69.16527896  -5.768269911e-13  0
69.47792495  -5.538819558e-13  0
69.73877387  -5.355129813e-13  0
69.91953391  -5.231811023e-13  0
70  -5.177932798e-13  0
70.08046609  -5.124670366e-13  0
70.26122613  -5.007226648e-13  0
70.52207505  -4.842983917e-13  0
70.83472104  -4.653964631e-13  0
71.16527896  -4.462984363e-13  0
71.47792495  -4.290336383e-13  0
71.73877387  -4.151960598e-13  0
71.91953391  -4.058980754e-13  0
72  -4.018336497e-13  0
72.08046609  -3.978143945e-13  0
72.26122613  -3.889473634e-13  0
72.52207505  -3.765362321e-13  0
72.83472104  -3.622368419e-13  0
73.16527896  -3.477710886e-13  0
73.47792495  -3.346777353e-13  0
73.73877387  -3.241720468e-13  0
73.91953391  -3.171069725e-13  0
74  -3.140170954e-13  0
74.08046609  -3.109606351e-13  0
74.26122613  -3.042143731e-13  0
74.52207505  -2.947639154e-13  0
74.83472104  -2.838641011e-13  0
75.16527896  -2.728244621e-13  0
75.47792495  -2.628204787e-13  0
75.73877387  -2.547852835e-13  0
75.91953391  -2.493773303e-13  0
76  -2.470110827e-13  0
76.08046609  -2.446697559e-13  0
76.26122613  -2.394995585e-13  0
76.52207505  -2.322512848e-13  0
76.83472104  -2.238829909e-13  0
77.16527896  -2.153978653e-13  0
77.47792495  -2.077002136e-13  0
77.73877387  -2.015113868e-13  0
77.91953391  -1.973429678e-13  0
78  -1.955182699e-13  0
78.08046609  -1.937122991e-13  0
78.26122613  -1.89722544e-13  0
78.52207505  -1.841250419e-13  0
78.83472104  -1.776564391e-13  0
79.16527896  -1.710905616e-13  0
79.47792495  -1.651277607e-13  0
79.73877387  -1.603292608e-13  0
79.91953391  -1.57094973e-13  0
80  -1.556785891e-13  0
80.08046609  -1.5427638e-13  0
80.26122613  -1.511773259e-13  0
80.52207505  -1.468263987e-13  0
80.83472104  -1.417938108e-13  0
81.16527896  -1.366803868e-13  0
81.47792495  -1.32031978e-13  0
81.73877387  -1.282879015e-13  0
81.91953391  -1.257626024e-13  0
82  -1.246562616e-13  0
82.08046609  -1.235607241e-13  0
82.26122613  -1.21138492e-13  0
82.52207505  -1.177355211e-13  0
82.83472104  -1.137960123e-13  0
83.16527896  -1.0978938e-13  0
83.47792495  -1.061436369e-13  0
83.73877387  -1.032046802e-13  0
83.91953391  -1.012211348e-13  0
84  -1.003518066e-13  0
84.08046609  -9.949076616e-14  0
84.26122613  -9.758628813e-14  0
84.52207505  -9.490900366e-14  0
84.83472104  -9.180705257e-14  0
85.16527896  -8.864936115e-14  0
85.47792495  -8.577348048e-14  0
85.73877387  -8.345326906e-14  0
85.91953391  -8.188635842e-14  0
86  -8.119937914e-14  0
86.08046609  -8.051879762e-14  0
86.26122613  -7.90129227e-14  0
86.52207505  -7.689470426e-14  0
86.83472104  -7.443857466e-14  0
